Company,Month,Service to Public,Campaign Type,Company Location,Paid to Ad,Percent,Spend,Spent,Impressions,Clicks,CRT,Goal
Airfare Desk Inc.,AUG,Travel,Paid Search,,14747.77,0.6,,0.0,0,0,,
AirLogic,AUG,HVAC,Paid Search,,1800,0.6,,298.55,2225,30,,
Alabama Funeral Homes & Cremation Center,AUG,Funeral,Paid Search,,,0.6,,0.0,0,0,,
Aletheia Digital,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Allstar Heating & Air,AUG,HVAC,Paid Search,,,0.6,,0.0,0,0,,
America's Best Restoration,AUG,Roofing,Paid Search,,,0.6,,0.0,0,0,,
American Roofing and Restoration,AUG,Roofing,Paid Search,,1500,0.6,,874.93,4740,99,,
ASP Pools ,AUG,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Avery's Furniture,AUG,Furniture,Paid Search,,,0.6,,0.0,0,0,,
Ben's Locksmith,AUG,Locksmith,Paid Search,,,0.6,,0.0,0,0,,
Beracah Homes,AUG,Housing,Paid Search,,,0.6,,0.0,0,0,,
Boyd Contracting,AUG,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Buzzell Plumbing Heating & AC,AUG,"Plumbing, HVAC",Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,AUG,Dentist,Paid Search,,,0.6,,0.0,0,0,,
Chris Moore Roofing,AUG,Roofing,Paid Search,,1000,0.6,,601.41,1286,66,,
Columbus Custom Hardwoods,AUG,Flooring,Paid Search,,,0.6,,0.0,0,0,,
Columbus Hospice,AUG,Medical,Paid Search,,1000,0.6,,305.62,1120,107,,
Complete Tire,AUG,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Containers by Reaves,AUG,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,AUG,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Elements Lawn & Pest,AUG,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Elite Tree Service,AUG,Tree Service,Paid Search,,720,0.6,,672.71,2589,100,,
Fairway Carts - EZ Go,AUG,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fairway Carts - SKAG,AUG,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fence Doctor,AUG,Fencing,Paid Search,,,0.6,,0.0,0,0,,
First Baptist Church School,AUG,Church & School,Paid Search,,,0.6,,0.0,0,0,,
First Response Services,AUG,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,AUG,Tree Service,Paid Search,,,0.6,,0.0,0,0,,
Funderburk & Lane,AUG,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Green Team Dumpster Rentals,AUG,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
Gutter Perfection,AUG,Roofing,Paid Search,,,0.6,,0.0,0,0,,
iAct Colorectal Cancer,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Diabetes Mellitus Trial,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Eczema Trial,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Oral Mucositis,AUG,Medical,Paid Search,,,0.6,,0.0,0,0,,
iAct Pancreatic Cancer,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Teen Obesity,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,AUG,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Majestic Carpet,AUG,Flooring,Paid Search,,625,0.6,,365.12,1075,41,,
Matt's Roofing & Gutters,AUG,Roofing,Paid Search,,1000,0.6,,730.03,13944,100,,
McGuire's Portable Buildings,AUG,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Mid GA Garage Doors,AUG,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Midtown OB,AUG,Medical,Paid Search,,250,0.6,,354.53,1088,94,,
Midtown OB Fibroids Trial,AUG,Medical,Paid Search,,,0.6,,0.0,0,0,,
Muse Kitchen & Bath,AUG,Home Improvement,Paid Search,,,0.6,,0.0,0,0,,
Northridge Vet,AUG,Veterinary,Paid Search,,500,0.6,,295.48,2411,85,,
Only Plumbing,AUG,Plumbing,Paid Search,,6500,0.6,,5003.93,33538,487,,
Overby Company,AUG,Office Supply,Paid Search,,400,0.6,,814.76,9154,107,,
Overhead Door Company,AUG,Garage Door,Paid Search,,1500,0.6,,968.45,4352,60,,
Overhead Door Pensacola,AUG,Garage Door,Paid Search,,,0.6,,0.0,0,0,,
Overhead Door -Watertown,AUG,Garage Door,Paid Search,,500,0.6,,300.86,1307,82,,
Parkside Dental,AUG,Dentist,Paid Search,,1000,0.6,,659.36,2399,88,,
Pink Monarch,AUG,Medical,Paid Search,,240,0.6,,138.27,714,31,,
PinProps,AUG,Real Estate,Paid Search,,,0.6,,0.0,0,0,,
Pioneer Comfort Systems,AUG,HVAC,Paid Search,,,0.6,,0.0,0,0,,
Proscape Colorants,AUG,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Proway Turf,AUG,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Reliance Home Services,AUG,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Rusty's  Floor Coverings,AUG,Flooring,Paid Search,,,0.6,,0.0,0,0,,
Servpro CDW,AUG,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
ServPro of Phenix City,AUG,Restoration & Cleaning,Paid Search,,1370,0.6,,881.23,3713,79,,
Shred A Way,AUG,Office Supply,Paid Search,,400,0.6,,205.75,873,30,,
Smiths Radiator,AUG,Tire & Auto,Paid Search,,1000,0.6,,491.18,2754,161,,
Southeastern Insulation,AUG,Home Improvement,Paid Search,,800,0.6,,24.87,464,7,,
Southern Services Carpet,AUG,Flooring,Paid Search,,500,0.6,,299.38,725,29,,
Synovus Wealth Management,AUG,Banking,Paid Search,,,0.6,,0.0,0,0,,
The Roofing Guys,AUG,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Thompson West Plumbing,AUG,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Tires First - Aletheia,AUG,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Top Notch Cleaning,AUG,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
Transmission Plus / AAA Parts & Salvage,AUG,Tire & Auto,Paid Search,,2800,0.6,,1036.33,9704,328,,
AAA Parts & Salvage,AUG,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Watson Plumbing,AUG,Plumbing,Paid Search,,500,0.6,,302.48,1552,54,,
West GA Custom Fence,AUG,Fencing,Paid Search,,,0.6,,0.0,0,0,,
West Georgia Eye Care,AUG,Medical,Paid Search,,600,0.6,,361.55,2597,57,,
WK Eye - The Cataract Surgeons,AUG,Medical,Paid Search,,,0.6,,0.0,0,0,,
Adams Family Dentistry,SEPT,Dentist,Paid Search,,900,0.6,,215.14,152702,171,,
Advanced Cleaning Systems,SEPT,Restoration & Cleaning,Paid Search,,,0.6,,,,,,
Airfare Desk Inc.,SEPT,Travel,Paid Search,,,0.6,,,,,,
AirLogic,SEPT,HVAC,Paid Search,,,0.6,,,,,,
Alabama Funeral Homes & Cremation Center,SEPT,Funeral,Paid Search,,,0.6,,0.0,0,0,,
Aletheia Digital,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Allstar Heating & Air,SEPT,HVAC,Paid Search,,,0.6,,0.0,0,0,,
America's Best Restoration,SEPT,Roofing,Paid Search,,,0.6,,,,,,
American Roofing and Restoration,SEPT,Roofing,Paid Search,,500,0.6,,189.65,112916,331,,
ASP Pools ,SEPT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Avery's Furniture,SEPT,Furniture,Paid Search,,,0.6,,,,,,
Ben's Locksmith,SEPT,Locksmith,Paid Search,,,0.6,,,,,,
Beracah Homes,SEPT,Housing,Paid Search,,,0.6,,0.0,0,0,,
Boyd Contracting,SEPT,Roofing,Paid Search,,,0.6,,,,,,
Buzzell Plumbing Heating & AC,SEPT,"Plumbing, HVAC",Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,SEPT,Dentist,Paid Search,,,0.6,,0.0,0,0,,
Chris Moore Roofing,SEPT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Columbus Custom Hardwoods,SEPT,Flooring,Paid Search,,,0.6,,,,,,
Columbus Hospice,SEPT,Medical,Paid Search,,,0.6,,550.067666,12379,1,,
Complete Tire,SEPT,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Containers by Reaves,SEPT,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,SEPT,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Elements Lawn & Pest,SEPT,Landscaping & Pools,Paid Search,,,0.6,,,,,,
Elite Tree Service,SEPT,Tree Service,Paid Search,,,0.6,,,,,,
Fairway Carts - EZ Go,SEPT,Golfing,Paid Search,,,0.6,,,,,,
Fairway Carts - SKAG,SEPT,Golfing,Paid Search,,,0.6,,,,,,
Fence Doctor,SEPT,Fencing,Paid Search,,,0.6,,,,,,
First Baptist Church School,SEPT,Church & School,Paid Search,,,0.6,,,,,,
First Response Services,SEPT,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,SEPT,Tree Service,Paid Search,,,0.6,,0.0,0,0,,
Funderburk & Lane,SEPT,Lawyer,Paid Search,,,0.6,,,,,,
Green Team Dumpster Rentals,SEPT,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
Gutter Perfection,SEPT,Roofing,Paid Search,,,0.6,,,,,,
iAct Colorectal Cancer,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Diabetes Mellitus Trial,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Eczema Trial,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Oral Mucositis,SEPT,Medical,Paid Search,,,0.6,,0.0,0,0,,
iAct Pancreatic Cancer,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Teen Obesity,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,SEPT,Lawyer,Paid Search,,,0.6,,,,,,
Majestic Carpet,SEPT,Flooring,Paid Search,,,0.6,,,,,,
Matt's Roofing & Gutters,SEPT,Roofing,Paid Search,,1000,0.6,,264.51,74641,312,,
McGuire's Portable Buildings,SEPT,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Mid GA Garage Doors,SEPT,Buildings,Paid Search,,,0.6,,,,,,
Midtown OB,SEPT,Medical,Paid Search,,1250,0.6,,301.16,209901,553,,
Midtown OB Fibroids Trial,SEPT,Medical,Paid Search,,,0.6,,0.0,0,0,,
Muse Kitchen & Bath,SEPT,Home Improvement,Paid Search,,150,0.6,,,,,,
Northridge Vet,SEPT,Veterinary,Paid Search,,500,0.6,,162.25,128799,141,,
Only Plumbing,SEPT,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Overby Company,SEPT,Office Supply,Paid Search,,,0.6,,,0,0,,
Overhead Door Company,SEPT,Garage Door,Paid Search,,,0.6,,,,,,
Overhead Door Pensacola,SEPT,Garage Door,Paid Search,,,0.6,,,,,,
Overhead Door -Watertown,SEPT,Garage Door,Paid Search,,500,0.6,,282.39,66128,80,,
Parkside Dental,SEPT,Dentist,Paid Search,,500,0.6,,192.71,84138,540,,
Pink Monarch,SEPT,Medical,Paid Search,,560,0.6,,219.73,163098,134,,
PinProps,SEPT,Real Estate,Paid Search,,,0.6,,0.0,0,0,,
Pioneer Comfort Systems,SEPT,HVAC,Paid Search,,,0.6,,,,,,
Proscape Colorants,SEPT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Proway Turf,SEPT,Landscaping & Pools,Paid Search,,,0.6,,,,,,
Reliance Home Services,SEPT,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Rusty's  Floor Coverings,SEPT,Flooring,Paid Search,,,0.6,,,,,,
Servpro CDW,SEPT,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
ServPro of Phenix City,SEPT,Restoration & Cleaning,Paid Search,,400,0.6,,204.2,89152,113,,
Shred A Way,SEPT,Office Supply,Paid Search,,,0.6,,,0,0,,
Smiths Radiator,SEPT,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Southeastern Insulation,SEPT,Home Improvement,Paid Search,,300,0.6,,,,,,
Southern Services Carpet,SEPT,Flooring,Paid Search,,,0.6,,,,,,
Synovus Wealth Management,SEPT,Banking,Paid Search,,,0.6,,0.0,0,0,,
The Roofing Guys,SEPT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Thompson West Plumbing,SEPT,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Tires First - Aletheia,SEPT,Tire & Auto,Paid Search,,1700,0.6,,245.6,146285,228,,
Top Notch Cleaning,SEPT,Restoration & Cleaning,Paid Search,,,0.6,,,,,,
Transmission Plus / AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,,,0.6,,,,,,
AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,,2800,0.6,,1017.96,7212,283,,
Watson Plumbing,SEPT,Plumbing,Paid Search,,,0.6,,,,,,
West GA Custom Fence,SEPT,Fencing,Paid Search,,,0.6,,,,,,
West Georgia Eye Care,SEPT,Medical,Paid Search,,1000,0.6,,11.51,13675,40,,
WK Eye - The Cataract Surgeons,SEPT,Medical,Paid Search,,,0.6,,,,,,
Adams Family Dentistry,OCT,Dentist,Paid Search,,600,0.6,,358.07,825,80,,
Advanced Cleaning Systems,OCT,Restoration & Cleaning,Paid Search,,,0.6,,246.87,881,32,,
Airfare Desk Inc.,OCT,Travel,Paid Search,,5954.11,0.6,,0.0,0,0,,
AirLogic,OCT,HVAC,Paid Search,,1800,0.6,,1081.52,2752,52,,
Alabama Funeral Homes & Cremation Center,OCT,Funeral,Paid Search,,,0.6,,0.0,0,0,,
Aletheia Digital,OCT,,Paid Search,,,0.6,,0.0,0,0,,
Allstar Heating & Air,OCT,HVAC,Paid Search,,,0.6,,0.0,0,0,,
America's Best Restoration,OCT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
American Roofing and Restoration,OCT,Roofing,Paid Search,,1500,0.6,,776.64,197,80,,
ASP Pools,OCT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Avery's Furniture,OCT,Furniture,Paid Search,,300,0.6,,178.34,2516,55,,
Ben's Locksmith,OCT,Locksmith,Paid Search,,,0.6,,0.0,0,0,,
Beracah Homes,OCT,Housing,Paid Search,,,0.6,,0.0,0,0,,
Boyd Contracting,OCT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Buzzell Plumbing Heating & AC,OCT,"Plumbing, HVAC",Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,OCT,Dentist,Paid Search,,,0.6,,0.0,0,0,,
Chris Moore Roofing,OCT,Roofing,Paid Search,,1000,0.6,,595.25,1063,59,,
Columbus Custom Hardwoods,OCT,Flooring,Paid Search,,,0.6,,0.0,0,0,,
Columbus Hospice,OCT,Medical,Paid Search,,,0.6,,195.64,778,65,,
Complete Tire,OCT,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Containers by Reaves,OCT,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,OCT,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Elements Lawn & Pest,OCT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Elite Tree Service,OCT,Tree Service,Paid Search,,1200,0.6,,733.58,4684,120,,
Fairway Carts - EZ Go,OCT,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fairway Carts - SKAG,OCT,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fence Doctor,OCT,Fencing,Paid Search,,,0.6,,0.0,0,0,,
First Baptist Church School,OCT,Church & School,Paid Search,,,0.6,,0.0,0,0,,
First Response Services,OCT,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,OCT,Tree Service,Paid Search,,,0.6,,0.0,0,0,,
Funderburk & Lane,OCT,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Green Team Dumpster Rentals,OCT,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
Gutter Perfection,OCT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
iAct Colorectal Cancer,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Diabetes Mellitus Trial,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Eczema Trial,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Oral Mucositis,OCT,Medical,Paid Search,,,0.6,,0.0,0,0,,
iAct Pancreatic Cancer,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Teen Obesity,OCT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,OCT,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Majestic Carpet,OCT,Flooring,Paid Search,,625,0.6,,374.04,1114,44,,
Matt's Roofing & Gutters,OCT,Roofing,Paid Search,,1000,0.6,,603.56,621,52,,
McGuire's Portable Buildings,OCT,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Mid GA Garage Doors,OCT,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Midtown OB,OCT,Medical,Paid Search,,250,0.6,,204.73,685,61,,
Midtown OB Fibroids Trial,OCT,Medical,Paid Search,,,0.6,,0.0,0,0,,
Muse Kitchen & Bath,OCT,Home Improvement,Paid Search,,500,0.6,,300.39,2721,56,,
Northridge Vet,OCT,Veterinary,Paid Search,,500,0.6,,298.13,2626,70,,
Only Plumbing,OCT,Plumbing,Paid Search,,6500,0.6,,4711.31,10347,307,,
Overby Company,OCT,Office Supply,Paid Search,,400,0.6,,266.14,4647,51,,
Overhead Door Company,OCT,Garage Door,Paid Search,,1500,0.6,,962.58,3336,251,,
Overhead Door Pensacola,OCT,Garage Door,Paid Search,,,0.6,,0.0,0,0,,
Overhead Door -Watertown,OCT,Garage Door,Paid Search,,500,0.6,,309.02,1897,92,,
Parkside Dental,OCT,Dentist,Paid Search,,1000,0.6,,650.67,2308,68,,
Pink Monarch,OCT,Medical,Paid Search,,240,0.6,,229.63,758,46,,
PinProps,OCT,Real Estate,Paid Search,,,0.6,,0.0,0,0,,
Pioneer Comfort Systems,OCT,HVAC,Paid Search,,,0.6,,0.0,0,0,,
Proscape Colorants,OCT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Proway Turf,OCT,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Reliance Home Services,OCT,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Rusty's  Floor Coverings,OCT,Flooring,Paid Search,,500,0.6,,294.61,3979,57,,
Servpro CDW,OCT,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
ServPro of Phenix City,OCT,Restoration & Cleaning,Paid Search,,600,0.6,,351.13,777,35,,
Shred A Way,OCT,Office Supply,Paid Search,,400,0.6,,227.54,931,24,,
Smiths Radiator,OCT,Tire & Auto,Paid Search,,1000,0.6,,618.55,2715,172,,
Southeastern Insulation,OCT,Home Improvement,Paid Search,,800,0.6,,484.8,2345,79,,
Southern Services Carpet,OCT,Flooring,Paid Search,,500,0.6,,309.77,739,25,,
Synovus Wealth Management,OCT,Banking,Paid Search,,,0.6,,0.0,0,0,,
The Roofing Guys,OCT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Thompson West Plumbing,OCT,Plumbing,Paid Search,,1000,0.6,,102.72,344,7,,
Tires First - Aletheia,OCT,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Top Notch Cleaning,OCT,Restoration & Cleaning,Paid Search,,1500,0.6,,907.19,3713,110,,
Transmission Plus / AAA Parts & Salvage,OCT,Tire & Auto,Paid Search,,2800,0.6,,1044.45,6036,276,,
AAA Parts & Salvage,OCT,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Watson Plumbing,OCT,Plumbing,Paid Search,,500,0.6,,295.66,1473,52,,
West GA Custom Fence,OCT,Fencing,Paid Search,,,0.6,,0.0,0,0,,
West Georgia Eye Care,OCT,Medical,Paid Search,,600,0.6,,359.86,2578,52,,
WK Eye - The Cataract Surgeons,OCT,Medical,Paid Search,,,0.6,,0.0,0,0,,
Adams Family Dentistry,NOV,Dentist,Paid Search,,600,0.6,,364.21,3339,78,,
Advanced Cleaning Systems,NOV,Restoration & Cleaning,Paid Search,,,0.6,,29.89,178,4,,
Airfare Desk Inc.,NOV,Travel,Paid Search,,4537.39,0.6,,0.0,0,0,,
AirLogic,NOV,HVAC,Paid Search,,1800,0.6,,1084.52,3598,58,,
Alabama Funeral Homes & Cremation Center,NOV,Funeral,Paid Search,,,0.6,,0.0,0,0,,
Aletheia Digital,NOV,,Paid Search,,,0.6,,0.0,0,0,,
Allstar Heating & Air,NOV,HVAC,Paid Search,,,0.6,,0.0,0,0,,
America's Best Restoration,NOV,Roofing,Paid Search,,,0.6,,0.0,0,0,,
American Roofing and Restoration,NOV,Roofing,Paid Search,,1500,0.6,,966.36,2994,77,,
ASP Pools,NOV,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Avery's Furniture,NOV,Furniture,Paid Search,,300,0.6,,176.63,2262,48,,
Ben's Locksmith,NOV,Locksmith,Paid Search,,,0.6,,0.0,0,0,,
Beracah Homes,NOV,Housing,Paid Search,,1208,0.6,,734.31,3818,325,,
Boyd Contracting,NOV,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Buzzell Plumbing Heating & AC,NOV,"Plumbing, HVAC",Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,NOV,Dentist,Paid Search,,,0.6,,0.0,0,0,,
Chris Moore Roofing,NOV,Roofing,Paid Search,,1000,0.6,,605.04,1396,66,,
Columbus Custom Hardwoods,NOV,Flooring,Paid Search,,500,0.6,,0.0,0,0,,
Columbus Hospice,NOV,Medical,Paid Search,,1200,0.6,,601.92,2112,169,,
Complete Tire,NOV,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Containers by Reaves,NOV,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,NOV,Plumbing,Paid Search,,,0.6,,0.0,0,0,,
Elements Lawn & Pest,NOV,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Elite Tree Service,NOV,Tree Service,Paid Search,,700,0.6,,427.4,3422,71,,
Fairway Carts - EZ Go,NOV,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fairway Carts - SKAG,NOV,Golfing,Paid Search,,,0.6,,0.0,0,0,,
Fence Doctor,NOV,Fencing,Paid Search,,,0.6,,0.0,0,0,,
First Baptist Church School,NOV,Church & School,Paid Search,,,0.6,,0.0,0,0,,
First Response Services,NOV,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,NOV,Tree Service,Paid Search,,,0.6,,0.0,0,0,,
Funderburk & Lane,NOV,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Green Team Dumpster Rentals,NOV,Waste Management,Paid Search,,,0.6,,0.0,0,0,,
Gutter Perfection,NOV,Roofing,Paid Search,,,0.6,,0.0,0,0,,
iAct Colorectal Cancer,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Diabetes Mellitus Trial,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Eczema Trial,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Oral Mucositis,NOV,Medical,Paid Search,,,0.6,,0.0,0,0,,
iAct Pancreatic Cancer,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pneumonia Vaccine Trial,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Teen Obesity,NOV,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,NOV,Lawyer,Paid Search,,,0.6,,0.0,0,0,,
Majestic Carpet,NOV,Flooring,Paid Search,,625,0.6,,372.32,1810,47,,
Matt's Roofing & Gutters,NOV,Roofing,Paid Search,,1000,0.6,,620.23,5691,57,,
McGuire's Portable Buildings,NOV,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Mid GA Garage Doors,NOV,Buildings,Paid Search,,,0.6,,0.0,0,0,,
Midtown OB,NOV,Medical,Paid Search,,250,0.6,,170.82,519,61,,
Midtown OB Fibroids Trial,NOV,Medical,Paid Search,,,0.6,,0.0,0,0,,
Muse Kitchen & Bath,NOV,Home Improvement,Paid Search,,500,0.6,,297.65,4534,66,,
Northridge Vet,NOV,Veterinary,Paid Search,,500,0.6,,299.64,2321,79,,
Only Plumbing,NOV,Plumbing,Paid Search,,,0.6,,1185.46,5208,72,,
Overby Company,NOV,Office Supply,Paid Search,,400,0.6,,223.67,5146,40,,
Overhead Door Company,NOV,Garage Door,Paid Search,,1500,0.6,,958.38,10198,227,,
Overhead Door Pensacola,NOV,Garage Door,Paid Search,,,0.6,,0.0,0,0,,
Overhead Door -Watertown,NOV,Garage Door,Paid Search,,500,0.6,,304.0,2497,89,,
Parkside Dental,NOV,Dentist,Paid Search,,1000,0.6,,636.26,1993,66,,
Pink Monarch,NOV,Medical,Paid Search,,240,0.6,,148.65,887,29,,
PinProps,NOV,Real Estate,Paid Search,,,0.6,,0.0,0,0,,
Pioneer Comfort Systems,NOV,HVAC,Paid Search,,,0.6,,0.0,0,0,,
Proscape Colorants,NOV,Landscaping & Pools,Paid Search,,1000,0.6,,320.06,5339,115,,
Proway Turf,NOV,Landscaping & Pools,Paid Search,,,0.6,,0.0,0,0,,
Reliance Home Services,NOV,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Rusty's  Floor Coverings,NOV,Flooring,Paid Search,,500,0.6,,301.72,4298,63,,
Servpro CDW,NOV,Restoration & Cleaning,Paid Search,,,0.6,,0.0,0,0,,
ServPro of Phenix City,NOV,Restoration & Cleaning,Paid Search,,600,0.6,,413.58,1307,34,,
Shred A Way,NOV,Office Supply,Paid Search,,400,0.6,,269.3,1124,26,,
Smiths Radiator,NOV,Tire & Auto,Paid Search,,1000,0.6,,613.51,4035,164,,
Southeastern Insulation,NOV,Home Improvement,Paid Search,,800,0.6,,638.35,4247,112,,
Southern Services Carpet,NOV,Flooring,Paid Search,,500,0.6,,297.77,1133,24,,
Synovus Wealth Management,NOV,Banking,Paid Search,,,0.6,,25.57,644,5,,
The Roofing Guys,NOV,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Thompson West Plumbing,NOV,Plumbing,Paid Search,,1000,0.6,,1329.64,8217,195,,
Tires First - Aletheia,NOV,Tire & Auto,Paid Search,,,0.6,,0.0,0,0,,
Top Notch Cleaning,NOV,Restoration & Cleaning,Paid Search,,1500,0.6,,889.95,2979,116,,
Transmission Plus / AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,,1440,0.6,,695.87,5389,107,,
AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,,1000,0.6,,498.07,4582,167,,
Watson Plumbing,NOV,Plumbing,Paid Search,,500,0.6,,297.9,1435,51,,
West GA Custom Fence,NOV,Fencing,Paid Search,,,0.6,,0.0,0,0,,
